RCP_SNO,SRAP_CNT,ING_INFO
3190532,752,당근 마늘 양파 버섯
3192746,644,고추 마늘 토마토
3192775,981,고추 마늘
3192779,877,고추 마늘
3195294,805,마늘 양파 무무
3200576,879,마늘 갈비
3202720,835,대파 마늘 무무
3207688,1926,고추 대파 배추
3209231,604,대파 마늘
3210231,1335,고추 대파 마늘 고춧가루 무무
3211467,625,고추 대파 마늘 양파 고춧가루
3215710,914,고추 대파 양파 버섯 무무
3220237,620,대파 마늘 양파 고춧가루 갈비
3220511,752,고추 대파 마늘
3221818,777,마늘
3228691,868,고추 대파 마늘 양파 버섯
3230169,1073,고추 대파 마늘
3239659,1142,당근 대파 마늘 양파
3240074,663,계란 고추
3254850,1713,당근 양파 버섯
3257040,1873,무무
3258863,2525,마늘 고춧가루
3259532,1749,고추 버섯
3266075,788,대파 마늘
3267104,1412,계란 대파
3270818,1676,고추 마늘 삼겹살
3275382,990,
3276370,1629,계란 상추
3278025,1076,상추 오이
3283538,5768,고추 토마토
3297820,820,마늘
3299499,784,고추 대파 양파
3300293,738,계란
3300718,2315,양파
3301797,2928,양파
3307368,2223,마늘 양파
3308082,631,고추 대파 마늘 배추 고춧가루
3308920,1092,대파 마늘
3311522,1261,고추 대파 마늘 양파 고춧가루
3311694,1254,마늘 배추 고춧가루 무무
3315302,659,고추 대파 마늘 양파
3316060,2509,고추 대파 마늘 고춧가루 버섯
3316063,1112,고춧가루
3348434,700,마늘
3349977,658,계란 양파
3352205,751,고추 대파 마늘 양파 고춧가루 무무
3352844,628,
3353664,3292,당근
3355886,2336,고추
3361960,1167,고추 당근 양파 고춧가루 버섯
3362038,1863,고추 양파 오이
3362090,651,고추 마늘
3370170,5488,마늘 배추 고춧가루
3375502,822,감자
3376234,1614,마늘
3376256,3792,대파 마늘 양파
3378406,954,고추 마늘
3390650,1040,대파 마늘 양파 고춧가루 버섯
3392895,636,마늘
3392979,5104,고추 마늘 양파
3394388,647,
3396569,615,고추 당근 대파 마늘 배추 양파 고춧가루 버섯 앞다리
3400382,1188,
3403837,752,고추 당근 양파
3406833,857,감자 당근 마늘 양파
3406886,1341,계란 고추 당근 양파
3410250,908,계란 고추 대파 마늘 고춧가루
3427729,1547,감자 고추 대파 마늘
3440661,869,고추 대파 마늘 무무
3441970,4593,고추 대파 마늘 배추 양파
3444172,1211,감자 당근 대파 마늘 양파 버섯
3445372,651,마늘
3450138,845,당근 대파 마늘 양파
3450243,739,마늘 오이 고춧가루
3450380,1070,당근 무무
3451635,1727,마늘 양파
3452119,956,마늘 고춧가루
3458666,1729,고추 대파 마늘 배추 양파 무무
3459390,1677,고추 마늘
3467169,1834,고추 마늘 배추
3467189,1533,마늘 양파 상추 토마토
3470737,1550,고추 대파 마늘 양파 고춧가루 버섯
3473496,712,마늘
3475057,1056,마늘 양파 버섯
3494040,777,토마토
3504491,1862,
3506137,1276,고추 대파 마늘 양파
3516293,1555,고추 마늘 고춧가루
3522952,3665,마늘 상추
3523153,898,고추 대파 마늘
3523851,771,고추 대파 마늘 양파 버섯
3527052,737,감자 계란 고추 마늘 양파 버섯
3531151,786,당근 대파 마늘 양파
3532909,699,감자
3534935,1015,대파 마늘 고춧가루
3536113,856,고추 당근 마늘
3547405,685,마늘 양파 버섯
3548455,679,버섯
3550766,1063,
3551090,624,고추 마늘 고춧가루
3551697,3440,감자 고추 대파 마늘
3555660,1609,고추 대파 마늘 양파 버섯
3555670,3918,마늘 양파 상추 오이 토마토 무무
3558351,1206,당근 버섯
3563396,1891,고추 마늘 양파 버섯
3567996,1308,고추 마늘
3568005,2353,고추 대파 마늘 양파 오이 고춧가루
3568149,42680,고추 대파 마늘 고춧가루 고등어 무무
3568153,1461,고춧가루 무무
3571196,901,감자 당근 상추 오이
3581953,1263,양파
3582164,614,
3587431,911,마늘
3589337,676,마늘
3592242,1813,대파
3592428,1642,당근 대파 마늘 양파 무무
3593266,2626,
3595011,721,감자 당근 마늘 배추 양파
3599346,6674,마늘 고춧가루
3599442,613,감자 고추 당근 양파 상추 고춧가루
3599822,1357,상추 토마토
3603009,974,마늘
3604332,3274,대파 마늘 양파 갈비 무무
3605267,1384,마늘 고춧가루
3605274,682,계란 당근
3611173,707,고추 마늘 갈비
3615302,973,계란 고추 대파 마늘 무무
3616718,1694,고추 마늘 고춧가루
3617876,844,고추 대파 마늘 양파 갈비
3619583,654,고추 당근 양파
3622019,830,계란
3622134,623,대파 마늘
3625018,982,고추 당근 대파 마늘 양파 고춧가루
